customer_id,city,signup_date,customer_segment,preferred_device
CUST00062,Pune,2025-08-15,Occassional,Mobile
CUST00063,Kolkata,2025-06-19,Regular,Mobile
CUST00064,Mumbai,2025-02-03,Regular,Mobile
CUST00065,Pune,2025-09-08,Occassional,Mobile
CUST00066,Delhi,2025-09-04,Regular,Tablet
CUST00067,Chennai,2025-09-26,Regular,Mobile
CUST00068,Mumbai,2025-05-21,Regular,Desktop
CUST00069,Chennai,2025-10-01,Regular,Mobile
CUST00070,Hyderabad,2025-04-06,Occassional,Mobile
CUST00071,Delhi,2025-08-15,Regular,Mobile
CUST00072,Delhi,2025-02-08,Occassional,Tablet
CUST00073,Mumbai,2025-10-29,Premium,Mobile
CUST00074,Delhi,2025-01-29,Premium,Mobile
CUST00075,Kolkata,2025-11-14,Regular,Mobile
CUST00076,Delhi,2025-09-02,Regular,Mobile
CUST00077,Chennai,2025-08-24,Regular,Mobile
CUST00078,Chennai,2025-07-04,Regular,Mobile
CUST00079,Pune,2025-09-29,Regular,Mobile
CUST00080,Chennai,2025-08-24,Premium,Mobile
CUST00081,Pune,2025-08-27,Occassional,Desktop
CUST00082,Chennai,2025-09-23,Regular,Mobile
CUST00083,Kolkata,2025-12-25,Regular,Mobile
CUST00084,Ahmedabad,2025-12-06,Occassional,Mobile
CUST00085,Pune,2025-03-06,Occassional,Desktop
CUST00086,Bangalore,2025-06-26,Premium,Mobile
CUST00087,Hyderabad,2025-01-03,Occassional,Mobile
CUST00088,Mumbai,2025-05-22,Regular,Mobile
CUST00089,Chennai,2025-06-07,Regular,Mobile
CUST00090,Delhi,2025-11-20,Regular,Mobile
CUST00091,Ahmedabad,2025-05-26,Occassional,Desktop
CUST00092,Chennai,2025-10-20,Regular,Desktop
CUST00093,Delhi,2025-06-02,Regular,Desktop
CUST00094,Hyderabad,2025-07-12,Regular,Mobile
CUST00095,Hyderabad,2025-03-14,Occassional,Mobile
CUST00096,Hyderabad,2025-11-01,Occassional,Mobile
CUST00097,Delhi,2025-12-10,Regular,Mobile
CUST00098,Chennai,2025-05-20,Occassional,Mobile
CUST00099,Hyderabad,2025-07-06,Premium,Desktop
CUST00100,Kolkata,2025-10-20,Premium,Mobile
CUST00101,Pune,2025-03-02,Premium,Mobile
CUST00102,Delhi,2025-07-17,Regular,Mobile
CUST00103,Delhi,2025-10-22,Regular,Mobile
CUST00104,Chennai,2025-11-15,Premium,Mobile
CUST00105,Delhi,2025-10-29,Premium,Desktop
CUST00106,Delhi,2025-12-10,Occassional,Mobile
CUST00107,Hyderabad,2025-01-11,Occassional,Desktop
CUST00108,Chennai,2025-03-03,Occassional,Desktop
CUST00109,Hyderabad,2025-11-29,Occassional,Desktop
CUST00110,Pune,2025-08-14,Regular,Mobile
CUST00111,Ahmedabad,2025-06-02,Premium,Mobile
CUST00112,Pune,2025-07-18,Regular,Mobile
CUST00113,Ahmedabad,2025-02-21,Regular,Desktop
CUST00114,Hyderabad,2025-09-17,Regular,Mobile
CUST00115,Pune,2025-02-28,Regular,Desktop
CUST00116,Chennai,2025-03-13,Premium,Mobile
CUST00117,Mumbai,2025-05-28,Regular,Mobile
CUST00118,Hyderabad,2025-12-15,Regular,Mobile
CUST00119,Ahmedabad,2025-03-04,Regular,Mobile
CUST00120,Kolkata,2025-11-06,Regular,Mobile
CUST00121,Ahmedabad,2025-08-31,Regular,Desktop
CUST00122,Kolkata,2025-11-26,Premium,Desktop
CUST00123,Delhi,2025-04-17,Premium,Desktop
CUST00124,Pune,2025-08-14,Occassional,Desktop
CUST00125,Kolkata,2025-11-09,Regular,Desktop
CUST00126,Ahmedabad,2025-08-06,Premium,Mobile
CUST00127,Delhi,2025-08-29,Occassional,Desktop
CUST00128,Mumbai,2025-09-16,Regular,Mobile
CUST00129,Chennai,2025-09-19,Regular,Mobile
CUST00130,Chennai,2025-01-05,Premium,Desktop
CUST00131,Chennai,2025-09-18,Regular,Mobile
CUST00132,Kolkata,2025-02-23,Regular,Mobile
CUST00133,Mumbai,2025-02-16,Regular,Mobile
CUST00134,Kolkata,2025-08-03,Occassional,Mobile
CUST00135,Pune,2025-06-26,Regular,Tablet
CUST00136,Kolkata,2025-01-09,Regular,Mobile
CUST00137,Mumbai,2025-04-09,Regular,Mobile
CUST00138,Mumbai,2025-01-20,Regular,Mobile
CUST00139,Pune,2025-08-29,Premium,Mobile
CUST00140,Mumbai,2025-03-02,Regular,Tablet
CUST00141,Ahmedabad,2025-06-27,Occassional,Mobile
CUST00142,Mumbai,2025-12-04,Regular,Mobile
CUST00143,Chennai,2025-03-03,Regular,Desktop
CUST00144,Ahmedabad,2025-05-25,Premium,Tablet
CUST00145,Ahmedabad,2025-08-04,Regular,Desktop
CUST00146,Pune,2025-01-03,Regular,Desktop
CUST00147,Bangalore,2025-06-09,Occassional,Mobile
CUST00148,Bangalore,2025-08-15,Regular,Mobile
CUST00149,Mumbai,2025-09-26,Regular,Mobile
CUST00150,Ahmedabad,2025-04-30,Occassional,Desktop
CUST00151,Bangalore,2025-03-30,Regular,Mobile
CUST00152,Bangalore,2025-11-25,Occassional,Mobile
CUST00153,Mumbai,2025-03-09,Regular,Mobile
CUST00154,Bangalore,2025-12-23,Regular,Mobile
CUST00155,Kolkata,2025-04-08,Regular,Mobile
CUST00156,Delhi,2025-09-24,Regular,Tablet
CUST00157,Pune,2025-04-15,Regular,Mobile
CUST00158,Delhi,2025-11-19,Regular,Desktop
CUST00159,Mumbai,2025-05-03,Regular,Desktop
CUST00160,Chennai,2025-01-29,Regular,Mobile
CUST00161,Pune,2025-05-17,Premium,Mobile
CUST00162,Mumbai,2025-07-14,Occassional,Mobile
CUST00163,Ahmedabad,2025-08-14,Regular,Mobile
CUST00164,Chennai,2025-11-28,Regular,Desktop
CUST00165,Delhi,2025-06-19,Regular,Mobile
CUST00166,Mumbai,2025-01-09,Occassional,Mobile
CUST00167,Ahmedabad,2025-02-09,Occassional,Mobile
CUST00168,Pune,2025-01-25,Regular,Tablet
CUST00169,Pune,2025-09-18,Regular,Desktop
CUST00170,Hyderabad,2025-08-14,Regular,Desktop
CUST00171,Ahmedabad,2025-05-04,Premium,Desktop
CUST00172,Kolkata,2025-02-07,Regular,Mobile
CUST00173,Bangalore,2025-11-24,Occassional,Desktop
CUST00174,Chennai,2025-09-08,Regular,Mobile
CUST00175,Ahmedabad,2025-06-25,Regular,Desktop
CUST00176,Hyderabad,2025-03-31,Occassional,Desktop
CUST00177,Bangalore,2025-02-06,Regular,Mobile
CUST00178,Bangalore,2025-11-12,Regular,Desktop
CUST00179,Mumbai,2025-06-25,Regular,Tablet
CUST00180,Bangalore,2025-10-11,Occassional,Mobile
CUST00181,Kolkata,2025-03-22,Premium,Desktop
CUST00182,Pune,2025-04-24,Occassional,Mobile
CUST00183,Hyderabad,2025-02-09,Occassional,Mobile
CUST00184,Bangalore,2025-10-28,Premium,Mobile
CUST00185,Mumbai,2025-08-12,Regular,Mobile
CUST00186,Kolkata,2025-11-14,Occassional,Tablet
CUST00187,Delhi,2025-12-15,Regular,Desktop
CUST00188,Pune,2025-04-25,Occassional,Desktop
CUST00189,Pune,2025-07-05,Occassional,Mobile
CUST00190,Hyderabad,2025-11-19,Regular,Tablet
CUST00191,Pune,2025-02-25,Regular,Mobile
CUST00192,Bangalore,2025-02-09,Occassional,Desktop
CUST00193,Mumbai,2025-12-20,Regular,Mobile
CUST00194,Pune,2025-02-09,Premium,Mobile
CUST00195,Pune,2025-12-13,Premium,Desktop
CUST00196,Delhi,2025-08-25,Regular,Mobile
CUST00197,Delhi,2025-10-16,Occassional,Mobile
CUST00198,Chennai,2025-09-19,Occassional,Mobile
CUST00199,Kolkata,2025-08-04,Regular,Mobile
CUST00200,Bangalore,2025-05-27,Premium,Mobile
CUST00201,Pune,2025-12-02,Regular,Mobile
CUST00202,Ahmedabad,2025-06-17,Occassional,Mobile
CUST00203,Pune,2025-04-02,Regular,Mobile
CUST00204,Mumbai,2025-12-19,Regular,Desktop
CUST00205,Chennai,2025-02-28,Premium,Mobile
CUST00206,Kolkata,2025-02-28,Regular,Tablet
CUST00207,Ahmedabad,2025-10-31,Occassional,Desktop
CUST00208,Chennai,2025-06-18,Regular,Mobile
CUST00209,Hyderabad,2025-09-26,Regular,Desktop
CUST00210,Kolkata,2025-12-29,Regular,Desktop
CUST00211,Pune,2025-02-14,Occassional,Tablet
CUST00212,Pune,2025-12-11,Premium,Mobile
CUST00213,Kolkata,2025-06-30,Regular,Mobile
CUST00214,Pune,2025-06-19,Regular,Desktop
CUST00215,Bangalore,2025-12-22,Occassional,Desktop
CUST00216,Kolkata,2025-07-10,Regular,Desktop
CUST00217,Chennai,2025-06-04,Premium,Mobile
CUST00218,Kolkata,2025-07-07,Regular,Desktop
CUST00219,Ahmedabad,2025-01-07,Occassional,Tablet
CUST00220,Pune,2025-05-13,Premium,Mobile
CUST00221,Bangalore,2025-08-23,Occassional,Mobile
CUST00222,Bangalore,2025-02-14,Regular,Mobile
CUST00223,Hyderabad,2025-11-10,Regular,Desktop
CUST00224,Chennai,2025-09-06,Regular,Desktop
CUST00225,Delhi,2025-01-31,Regular,Desktop
CUST00226,Delhi,2025-01-23,Regular,Mobile
CUST00227,Kolkata,2025-06-09,Occassional,Mobile
CUST00228,Hyderabad,2025-12-29,Regular,Mobile
CUST00229,Mumbai,2025-06-07,Regular,Mobile
CUST00230,Kolkata,2025-02-08,Occassional,Desktop
CUST00231,Hyderabad,2025-03-23,Occassional,Tablet
CUST00232,Chennai,2025-12-22,Premium,Tablet
CUST00233,Chennai,2025-09-15,Regular,Tablet
CUST00234,Chennai,2025-07-25,Occassional,Mobile
CUST00235,Chennai,2025-03-18,Premium,Mobile
CUST00236,Chennai,2025-01-12,Regular,Desktop
CUST00237,Hyderabad,2025-10-22,Occassional,Tablet
CUST00238,Hyderabad,2025-08-12,Premium,Mobile
CUST00239,Bangalore,2025-01-13,Regular,Mobile
CUST00240,Ahmedabad,2025-02-15,Regular,Mobile
CUST00241,Delhi,2025-06-04,Regular,Desktop
CUST00242,Pune,2025-04-23,Premium,Mobile
CUST00243,Chennai,2025-08-21,Premium,Mobile
CUST00244,Mumbai,2025-01-17,Regular,Mobile
CUST00245,Pune,2025-12-26,Occassional,Mobile
CUST00246,Hyderabad,2025-08-11,Occassional,Desktop
CUST00247,Mumbai,2025-12-20,Regular,Mobile
CUST00248,Mumbai,2025-07-07,Premium,Desktop
CUST00249,Mumbai,2025-12-10,Regular,Desktop
CUST00250,Bangalore,2025-12-31,Regular,Desktop
CUST00251,Hyderabad,2025-06-12,Occassional,Mobile
CUST00252,Mumbai,2025-11-22,Occassional,Tablet
CUST00253,Chennai,2025-03-15,Regular,Mobile
CUST00254,Kolkata,2025-08-21,Occassional,Tablet
CUST00255,Mumbai,2025-08-12,Premium,Tablet
CUST00256,Bangalore,2025-11-15,Regular,Mobile
CUST00257,Pune,2025-03-01,Regular,Mobile
CUST00258,Hyderabad,2025-12-01,Occassional,Mobile
CUST00259,Ahmedabad,2025-08-10,Regular,Mobile
CUST00260,Bangalore,2025-02-06,Regular,Mobile
CUST00261,Mumbai,2025-10-05,Occassional,Mobile
CUST00262,Hyderabad,2025-07-15,Premium,Mobile
CUST00263,Kolkata,2025-12-18,Regular,Mobile
CUST00264,Mumbai,2025-08-30,Occassional,Mobile
CUST00265,Bangalore,2025-11-20,Regular,Mobile
CUST00266,Delhi,2025-08-07,Regular,Mobile
CUST00267,Chennai,2025-07-11,Regular,Mobile
CUST00268,Ahmedabad,2025-01-17,Premium,Mobile
CUST00269,Pune,2025-01-12,Occassional,Mobile
CUST00270,Bangalore,2025-07-12,Regular,Desktop
CUST00271,Hyderabad,2025-01-22,Premium,Mobile
CUST00272,Ahmedabad,2025-04-30,Regular,Mobile
CUST00273,Ahmedabad,2025-07-29,Regular,Mobile
CUST00274,Ahmedabad,2025-11-02,Regular,Desktop
CUST00275,Mumbai,2025-09-27,Regular,Desktop
CUST00276,Chennai,2025-07-11,Regular,Desktop
CUST00277,Mumbai,2025-06-24,Regular,Desktop
CUST00278,Hyderabad,2025-10-12,Regular,Mobile
CUST00279,Mumbai,2025-07-23,Regular,Mobile
CUST00280,Delhi,2025-06-13,Regular,Mobile
CUST00281,Chennai,2025-09-08,Regular,Tablet
CUST00282,Chennai,2025-08-15,Regular,Desktop
CUST00283,Hyderabad,2025-01-07,Regular,Desktop
CUST00284,Pune,2025-01-29,Regular,Mobile
CUST00285,Delhi,2025-02-02,Occassional,Desktop
CUST00286,Bangalore,2025-05-14,Regular,Mobile
CUST00287,Mumbai,2025-03-20,Regular,Mobile
CUST00288,Kolkata,2025-02-27,Occassional,Mobile
CUST00289,Mumbai,2025-01-26,Regular,Mobile
CUST00290,Ahmedabad,2025-08-14,Regular,Mobile
CUST00291,Mumbai,2025-10-12,Regular,Desktop
CUST00292,Bangalore,2025-01-04,Regular,Mobile
CUST00293,Mumbai,2025-04-09,Occassional,Mobile
CUST00294,Delhi,2025-02-08,Regular,Mobile
CUST00295,Delhi,2025-09-28,Occassional,Mobile
CUST00296,Chennai,2025-10-12,Regular,Desktop
CUST00297,Hyderabad,2025-06-06,Regular,Desktop
CUST00298,Pune,2025-03-16,Premium,Desktop
CUST00299,Kolkata,2025-10-15,Regular,Desktop
CUST00300,Ahmedabad,2025-05-10,Regular,Desktop
CUST00301,Mumbai,2025-06-24,Occassional,Mobile
CUST00302,Mumbai,2025-03-25,Regular,Desktop
CUST00303,Bangalore,2025-01-22,Regular,Mobile
CUST00304,Hyderabad,2025-01-27,Regular,Mobile
CUST00305,Delhi,2025-07-14,Regular,Mobile
CUST00306,Kolkata,2025-12-03,Regular,Desktop
CUST00307,Chennai,2025-08-24,Occassional,Desktop
CUST00308,Delhi,2025-04-02,Regular,Mobile
CUST00309,Ahmedabad,2025-01-21,Regular,Desktop
CUST00310,Hyderabad,2025-10-30,Regular,Tablet
CUST00311,Ahmedabad,2025-12-23,Occassional,Mobile
CUST00312,Pune,2025-03-25,Occassional,Mobile
CUST00313,Chennai,2025-09-19,Regular,Desktop
CUST00314,Pune,2025-05-27,Regular,Mobile
CUST00315,Bangalore,2025-09-14,Occassional,Desktop
CUST00316,Ahmedabad,2025-02-27,Regular,Mobile
CUST00317,Bangalore,2025-01-15,Occassional,Mobile
CUST00318,Mumbai,2025-06-11,Regular,Desktop
CUST00319,Pune,2025-06-12,Regular,Desktop
CUST00320,Hyderabad,2025-11-16,Occassional,Desktop
CUST00321,Ahmedabad,2025-10-08,Occassional,Desktop
CUST00322,Kolkata,2025-10-07,Regular,Desktop
CUST00323,Chennai,2025-01-12,Regular,Desktop
CUST00324,Delhi,2025-10-01,Regular,Mobile
CUST00325,Hyderabad,2025-09-28,Premium,Mobile
CUST00326,Hyderabad,2025-07-27,Regular,Mobile
CUST00327,Bangalore,2025-01-27,Regular,Desktop
CUST00328,Pune,2025-03-13,Occassional,Mobile
CUST00329,Ahmedabad,2025-03-01,Regular,Mobile
CUST00330,Ahmedabad,2025-05-25,Regular,Mobile
CUST00331,Mumbai,2025-04-03,Premium,Desktop
CUST00332,Mumbai,2025-11-05,Regular,Desktop
CUST00333,Chennai,2025-01-08,Regular,Mobile
CUST00334,Bangalore,2025-03-20,Occassional,Desktop
CUST00335,Hyderabad,2025-01-27,Regular,Mobile
CUST00336,Ahmedabad,2025-06-23,Occassional,Mobile
CUST00337,Kolkata,2025-02-19,Occassional,Desktop
CUST00338,Bangalore,2025-07-18,Regular,Mobile
CUST00339,Chennai,2025-12-15,Occassional,Tablet
CUST00340,Chennai,2025-06-30,Occassional,Mobile
CUST00341,Bangalore,2025-01-24,Regular,Mobile
CUST00342,Chennai,2025-11-12,Regular,Tablet
CUST00343,Bangalore,2025-02-15,Regular,Mobile
CUST00344,Delhi,2025-01-15,Regular,Tablet
CUST00345,Bangalore,2025-06-02,Occassional,Tablet
CUST00346,Pune,2025-08-10,Regular,Mobile
CUST00347,Bangalore,2025-07-25,Occassional,Mobile
CUST00348,Chennai,2025-09-30,Regular,Mobile
CUST00349,Ahmedabad,2025-08-24,Premium,Mobile
CUST00350,Pune,2025-12-06,Occassional,Mobile
CUST00351,Chennai,2025-08-16,Regular,Mobile
CUST00352,Mumbai,2025-01-09,Regular,Mobile
CUST00353,Mumbai,2025-06-15,Regular,Mobile
CUST00354,Ahmedabad,2025-11-15,Premium,Tablet
CUST00355,Ahmedabad,2025-08-02,Regular,Desktop
CUST00356,Pune,2025-04-27,Regular,Desktop
CUST00357,Delhi,2025-12-10,Regular,Mobile
CUST00358,Ahmedabad,2025-03-13,Occassional,Desktop
CUST00359,Mumbai,2025-03-05,Regular,Mobile
CUST00360,Bangalore,2025-07-24,Regular,Desktop
CUST00361,Chennai,2025-07-28,Regular,Tablet
CUST00362,Mumbai,2025-03-13,Occassional,Mobile
CUST00363,Mumbai,2025-10-04,Regular,Desktop
CUST00364,Delhi,2025-10-01,Regular,Desktop
CUST00365,Pune,2025-11-16,Premium,Tablet
CUST00366,Pune,2025-12-04,Premium,Desktop
CUST00367,Hyderabad,2025-04-05,Occassional,Mobile
CUST00368,Delhi,2025-06-15,Regular,Mobile
CUST00369,Bangalore,2025-02-01,Regular,Mobile
CUST00370,Pune,2025-01-11,Regular,Desktop
CUST00371,Chennai,2025-10-28,Regular,Mobile
CUST00372,Ahmedabad,2025-08-05,Occassional,Desktop
CUST00373,Delhi,2025-10-16,Occassional,Mobile
CUST00374,Ahmedabad,2025-04-12,Regular,Mobile
CUST00375,Mumbai,2025-09-24,Occassional,Mobile
CUST00376,Chennai,2025-08-02,Occassional,Desktop
CUST00377,Chennai,2025-06-28,Regular,Mobile
CUST00378,Mumbai,2025-03-29,Regular,Mobile
CUST00379,Delhi,2025-02-10,Regular,Mobile
CUST00380,Mumbai,2025-03-17,Occassional,Mobile
CUST00381,Ahmedabad,2025-02-15,Occassional,Mobile
CUST00382,Hyderabad,2025-06-09,Occassional,Desktop
CUST00383,Chennai,2025-03-21,Occassional,Mobile
CUST00384,Kolkata,2025-11-06,Regular,Mobile
CUST00385,Kolkata,2025-03-27,Occassional,Desktop
CUST00386,Ahmedabad,2025-04-02,Occassional,Tablet
CUST00387,Bangalore,2025-05-28,Regular,Desktop
CUST00388,Pune,2025-06-10,Regular,Mobile
CUST00389,Mumbai,2025-07-21,Occassional,Desktop
CUST00390,Mumbai,2025-08-30,Premium,Tablet
CUST00391,Bangalore,2025-12-19,Occassional,Desktop
CUST00392,Bangalore,2025-01-02,Regular,Mobile
CUST00393,Ahmedabad,2025-08-13,Regular,Mobile
CUST00394,Ahmedabad,2025-10-16,Occassional,Desktop
CUST00395,Bangalore,2025-08-21,Regular,Mobile
CUST00396,Chennai,2025-03-18,Regular,Mobile
CUST00397,Ahmedabad,2025-04-26,Regular,Desktop
CUST00398,Hyderabad,2025-06-03,Occassional,Desktop
CUST00399,Ahmedabad,2025-04-13,Premium,Mobile
CUST00400,Mumbai,2025-07-13,Occassional,Desktop
CUST00401,Ahmedabad,2025-06-15,Regular,Mobile
CUST00402,Chennai,2025-12-25,Occassional,Mobile
CUST00403,Bangalore,2025-03-31,Occassional,Desktop
CUST00404,Mumbai,2025-06-23,Regular,Mobile
CUST00405,Ahmedabad,2025-05-02,Regular,Mobile
CUST00406,Chennai,2025-05-23,Regular,Tablet
CUST00407,Hyderabad,2025-04-16,Regular,Mobile
CUST00408,Ahmedabad,2025-11-01,Premium,Mobile
CUST00409,Chennai,2025-12-26,Premium,Tablet
CUST00410,Hyderabad,2025-11-13,Premium,Desktop
CUST00411,Bangalore,2025-05-03,Regular,Desktop
CUST00412,Ahmedabad,2025-01-09,Regular,Desktop
CUST00413,Hyderabad,2025-09-19,Regular,Mobile
CUST00414,Mumbai,2025-03-14,Occassional,Desktop
CUST00415,Bangalore,2025-12-25,Regular,Mobile
CUST00416,Mumbai,2025-08-11,Regular,Desktop
CUST00417,Kolkata,2025-02-10,Regular,Mobile
CUST00418,Delhi,2025-07-23,Occassional,Desktop
CUST00419,Ahmedabad,2025-09-21,Occassional,Mobile
CUST00420,Hyderabad,2025-11-24,Occassional,Mobile
CUST00421,Delhi,2025-06-27,Occassional,Desktop
CUST00422,Delhi,2025-12-14,Premium,Desktop
CUST00423,Hyderabad,2025-11-14,Occassional,Desktop
CUST00424,Bangalore,2025-03-25,Occassional,Mobile
CUST00425,Ahmedabad,2025-11-14,Regular,Mobile
CUST00426,Kolkata,2025-04-21,Occassional,Desktop
CUST00427,Mumbai,2025-09-08,Premium,Desktop
CUST00428,Chennai,2025-01-07,Regular,Desktop
CUST00429,Mumbai,2025-03-25,Regular,Tablet
CUST00430,Chennai,2025-07-27,Regular,Desktop
CUST00431,Mumbai,2025-11-10,Regular,Mobile
CUST00432,Hyderabad,2025-01-22,Regular,Desktop
CUST00433,Kolkata,2025-01-03,Regular,Tablet
CUST00434,Ahmedabad,2025-05-07,Regular,Desktop
CUST00435,Chennai,2025-10-24,Occassional,Desktop
CUST00436,Ahmedabad,2025-07-07,Premium,Desktop
CUST00437,Ahmedabad,2025-12-28,Regular,Mobile
CUST00438,Ahmedabad,2025-01-14,Occassional,Mobile
CUST00439,Pune,2025-01-12,Occassional,Mobile
CUST00440,Bangalore,2025-03-28,Regular,Tablet
CUST00441,Mumbai,2025-01-12,Occassional,Desktop
CUST00442,Ahmedabad,2025-01-25,Occassional,Mobile
CUST00443,Mumbai,2025-10-28,Occassional,Tablet
CUST00444,Ahmedabad,2025-08-31,Regular,Mobile
CUST00445,Chennai,2025-05-02,Regular,Mobile
CUST00446,Bangalore,2025-05-27,Regular,Desktop
CUST00447,Bangalore,2025-02-24,Regular,Desktop
CUST00448,Hyderabad,2025-08-26,Regular,Mobile
CUST00449,Pune,2025-12-22,Premium,Mobile
CUST00450,Hyderabad,2025-06-22,Regular,Mobile
CUST00451,Hyderabad,2025-08-09,Regular,Mobile
CUST00452,Hyderabad,2025-04-29,Regular,Mobile
CUST00453,Hyderabad,2025-11-05,Occassional,Mobile
CUST00454,Hyderabad,2025-07-02,Regular,Mobile
CUST00455,Kolkata,2025-10-15,Premium,Mobile
CUST00456,Bangalore,2025-11-03,Occassional,Mobile
CUST00457,Hyderabad,2025-10-27,Premium,Mobile
CUST00458,Ahmedabad,2025-03-23,Regular,Desktop
CUST00459,Bangalore,2025-07-30,Occassional,Desktop
CUST00460,Bangalore,2025-05-30,Regular,Mobile
CUST00461,Delhi,2025-02-06,Occassional,Mobile
CUST00462,Kolkata,2025-12-18,Regular,Mobile
CUST00463,Hyderabad,2025-11-08,Regular,Mobile
CUST00464,Mumbai,2025-12-27,Premium,Mobile
CUST00465,Chennai,2025-02-28,Regular,Mobile
CUST00466,Pune,2025-05-11,Occassional,Mobile
CUST00467,Ahmedabad,2025-07-21,Regular,Desktop
CUST00468,Mumbai,2025-08-31,Regular,Mobile
CUST00469,Kolkata,2025-02-04,Regular,Mobile
CUST00470,Chennai,2025-04-03,Regular,Desktop
CUST00471,Kolkata,2025-07-26,Premium,Mobile
CUST00472,Ahmedabad,2025-12-19,Regular,Mobile
CUST00473,Bangalore,2025-11-28,Regular,Mobile
CUST00474,Chennai,2025-11-01,Regular,Mobile
CUST00475,Bangalore,2025-12-16,Regular,Desktop
CUST00476,Ahmedabad,2025-08-01,Premium,Mobile
CUST00477,Mumbai,2025-06-08,Regular,Mobile
CUST00478,Ahmedabad,2025-01-24,Occassional,Mobile
CUST00479,Mumbai,2025-10-20,Premium,Mobile
CUST00480,Chennai,2025-01-04,Regular,Desktop
CUST00481,Chennai,2025-08-08,Regular,Desktop
CUST00482,Hyderabad,2025-12-30,Regular,Mobile
CUST00483,Kolkata,2025-01-20,Regular,Mobile
CUST00484,Hyderabad,2025-06-01,Regular,Mobile
CUST00485,Kolkata,2025-02-19,Occassional,Desktop
CUST00486,Hyderabad,2025-06-26,Regular,Mobile
CUST00487,Bangalore,2025-04-06,Occassional,Mobile
CUST00488,Chennai,2025-04-15,Occassional,Mobile
CUST00489,Mumbai,2025-09-07,Regular,Mobile
CUST00490,Kolkata,2025-04-27,Regular,Mobile
CUST00491,Ahmedabad,2025-12-20,Premium,Mobile
CUST00492,Kolkata,2025-08-16,Regular,Mobile
CUST00493,Mumbai,2025-03-07,Occassional,Mobile
CUST00494,Hyderabad,2025-12-01,Regular,Mobile
